mue_id,cpt_code,max_units_per_day,adjudication_type,mue_rationale,effective_date,source
MUE0039,96415,7,Practitioner,Max 7 additional hours per day,2024-01-01,CMS MUE Values (synthetic equivalent)
MUE0040,97110,4,Practitioner,Max 4 units (60 min) therapeutic exercise per day,2024-01-01,CMS MUE Values (synthetic equivalent)
MUE0041,97140,4,Practitioner,Max 4 units (60 min) manual therapy per day,2024-01-01,CMS MUE Values (synthetic equivalent)
MUE0042,97161,1,Practitioner,One PT eval per day,2024-01-01,CMS MUE Values (synthetic equivalent)
MUE0043,90715,1,Practitioner,One Tdap per day,2024-01-01,CMS MUE Values (synthetic equivalent)
MUE0044,90471,5,Practitioner,Max 5 immunization admin per day,2024-01-01,CMS MUE Values (synthetic equivalent)
MUE0045,G0121,1,Practitioner,One screening colonoscopy per day,2024-01-01,CMS MUE Values (synthetic equivalent)
MUE0046,99395,1,Practitioner,One preventive visit per day,2024-01-01,CMS MUE Values (synthetic equivalent)
MUE0047,99396,1,Practitioner,One preventive visit per day,2024-01-01,CMS MUE Values (synthetic equivalent)
MUE0048,11042,4,Practitioner,Max 4 debridement sites per day,2024-01-01,CMS MUE Values (synthetic equivalent)
MUE0049,20610,4,Practitioner,Max 4 joint injections per day (different joints),2024-01-01,CMS MUE Values (synthetic equivalent)
MUE0050,62322,2,Practitioner,Max 2 epidural injections per day,2024-01-01,CMS MUE Values (synthetic equivalent)
MUE0051,64483,3,Practitioner,Max 3 transforaminal injections per session,2024-01-01,CMS MUE Values (synthetic equivalent)
MUE0052,59400,1,Practitioner,One global OB per pregnancy,2024-01-01,CMS MUE Values (synthetic equivalent)
MUE0053,59510,1,Practitioner,One global cesarean per pregnancy,2024-01-01,CMS MUE Values (synthetic equivalent)
MUE0054,59025,2,Practitioner,Max 2 NSTs per day,2024-01-01,CMS MUE Values (synthetic equivalent)
MUE0055,77386,1,Practitioner,One IMRT delivery per day,2024-01-01,CMS MUE Values (synthetic equivalent)
MUE0056,77263,1,Practitioner,One treatment plan per course,2024-01-01,CMS MUE Values (synthetic equivalent)
MUE0057,90832,1,Practitioner,One 30-min therapy per day,2024-01-01,CMS MUE Values (synthetic equivalent)
MUE0058,99281,1,Practitioner,One ED visit per encounter,2024-01-01,CMS MUE Values (synthetic equivalent)
MUE0059,93005,3,Practitioner,Max 3 ECG tracings per day,2024-01-01,CMS MUE Values (synthetic equivalent)
MUE0060,94640,4,Practitioner,Max 4 nebulizer treatments per day,2024-01-01,CMS MUE Values (synthetic equivalent)
